"entrez" "genename" "PubMed" "scaledconnectivity"
"1" 2 "A2M" 210 0.106537038678906
"2" 12 "SERPINA3" 180 0.111776954615346
"3" 14 "AAMP" 28 0.0533025941971775
"4" 16 "AARS" 38 0.143462596062281
"5" 18 "ABAT" 38 0.158815141637243
"6" 19 "ABCA1" 628 0.074681171615361
"7" 20 "ABCA2" 40 0.157181774089104
"8" 21 "ABCA3" 64 0.137303918097952
"9" 22 "ABCB7" 35 0.169025998721998
"10" 23 "ABCF1" 53 0.0441374810565239
"11" 25 "ABL1" 715 0.0962266214326674
"12" 27 "ABL2" 88 0.161862781369306
"13" 29 "ABR" 29 0.314579135601958
"14" 30 "ACAA1" 39 0.0832722072722144
"15" 31 "ACACA" 97 0.267875884975848
"16" 32 "ACACB" 63 0.0204338624382454
"17" 34 "ACADM" 96 0.0764788579258535
"18" 35 "ACADS" 48 0.125797631234427
"19" 36 "ACADSB" 29 0.246407776794241
"20" 37 "ACADVL" 56 0.0659614979686416
"21" 38 "ACAT1" 87 0.0340764356231698
"22" 39 "ACAT2" 51 0.0323723890138279
"23" 41 "ACCN2" 68 0.109382292927392
"24" 43 "ACHE" 176 0.0233361774880895
"25" 47 "ACLY" 84 0.0350721599043868
"26" 48 "ACO1" 78 0.0197283805573889
"27" 50 "ACO2" 48 0.122911652214722
"28" 51 "ACOX1" 42 0.0327010309327239
"29" 52 "ACP1" 121 0.135559057179719
"30" 53 "ACP2" 37 0.116322394898803
"31" 59 "ACTA2" 201 0.0432689425132065
"32" 60 "ACTB" 433 0.25239223948908
"33" 71 "ACTG1" 217 0.14240507271699
"34" 81 "ACTN4" 184 0.106273874044072
"35" 86 "ACTL6A" 90 0.1978977017384
"36" 87 "ACTN1" 175 0.107669747523765
"37" 88 "ACTN2" 106 0.131543736649799
"38" 90 "ACVR1" 113 0.0365477433619698
"39" 91 "ACVR1B" 78 0.36301816313063
"40" 93 "ACVR2B" 67 0.26082864122981
"41" 94 "ACVRL1" 135 0.0418685699976969
